suji, romaji, yomigana, kanji
1, ichi, いち, 
2, ni, に, 
3, san, さん, 
4, "yon, shi", "よん、し", 
5, go, ご, 
6, roku, ろく, 
7, "nana, shichi", "なな、しち", 
8, hachi, はち, 
9, "kyu, ku", "きゅう、く", 
10, ju, じゅう, 
11, ju‐ichi, じゅういち, 
12, ju‐ni, じゅうに, 
13, ju‐san, じゅうさん, 
14, "ju‐yon, ju‐shi", "じゅうよん、じゅうし",  
15, ju‐go, じゅうご, 
16, ju‐roku, じゅうろく,  
17, "ju‐nana, ju‐shichi", "じゅうなな、じゅうしち", 
18, ju‐hachi, じゅうはち, 
19, ju‐kyu, じゅうきゅう, 
20, ni‐ju, にじゅう, 
30, san‐ju, さんじゅう, 
40, yon‐ju, よんじゅう,      
50, go‐ju, ごじゅう,
60, roku‐ju, ろくじゅう,
70, nana‐ju, ななじゅう,
80, hachi‐ju, はちじゅう,
90, kyu‐ju, きゅうじゅう,
100, hyaku, ひゃく,
300, san‐byaku, さんひゃく,
600, roppyaku, ろっぴゃく,
800, happyaku, はっぴゃく,
"1,000", "sen, issen", "せん, いせん",
"2,000", ni-sen, にせん,
"3,000", san‐zen, さんぜん,
"8,000", hassen, はっせん,
"10,000", man, まん,
"11,000", man-issen, まんいせん,
"12,000", man-ni-sen, まんにせん,





